"Terminal columns", "Squares per row", "Squares per col", "Ops"
60, 0, 50, "42.25"
70, 0, 50, "44.85"
80, 0, 50, "21.32"
90, 0, 50, "23.08"
100, 0, 50, "15.48"
0, 10, 50, "408.23"
10, 10, 50, "1724.14"
20, 10, 50, "3292.72"
30, 10, 50, "1723.84"
40, 10, 50, "287.55"
50, 10, 50, "172.16"
60, 10, 50, "146.86"
70, 10, 50, "124.63"
80, 10, 50, "108.87"
90, 10, 50, "95.17"
100, 10, 50, "82.19"
0, 20, 50, "219.81"
10, 20, 50, "208.56"
20, 20, 50, "201.82"
30, 20, 50, "186.50"
40, 20, 50, "166.61"
50, 20, 50, "152.34"
60, 20, 50, "737.74"
70, 20, 50, "186.50"
80, 20, 50, "106.28"
90, 20, 50, "99.44"
100, 20, 50, "90.16"
0, 30, 50, "149.73"
10, 30, 50, "153.77"
20, 30, 50, "141.38"
30, 30, 50, "137.94"
40, 30, 50, "131.36"
50, 30, 50, "122.49"
60, 30, 50, "113.74"
70, 30, 50, "465.90"
80, 30, 50, "121.34"
90, 30, 50, "89.58"
100, 30, 50, "80.77"
0, 40, 50, "113.57"
10, 40, 50, "117.30"
20, 40, 50, "108.53"
30, 40, 50, "107.47"
40, 40, 50, "104.81"
50, 40, 50, "100.73"
60, 40, 50, "345.55"
70, 40, 50, "110.17"
80, 40, 50, "86.53"
90, 40, 50, "82.29"
100, 40, 50, "77.02"
0, 50, 50, "92.06"
10, 50, 50, "94.84"
20, 50, 50, "87.77"
30, 50, 50, "94.77"
40, 50, 50, "316.13"
50, 50, 50, "84.63"
60, 50, 50, "81.75"
70, 50, 50, "79.41"
80, 50, 50, "76.10"
90, 50, 50, "72.64"
100, 50, 50, "69.69"
0, 60, 50, "108.65"
10, 60, 50, "143.72"
20, 60, 50, "79.20"
30, 60, 50, "73.12"
40, 60, 50, "72.83"
50, 60, 50, "72.07"
60, 60, 50, "70.90"
70, 60, 50, "68.62"
80, 60, 50, "179.37"
90, 60, 50, "65.10"
100, 60, 50, "62.58"
0, 70, 50, "66.71"
10, 70, 50, "68.50"
20, 70, 50, "68.33"
30, 70, 50, "104.19"
40, 70, 50, "78.46"
50, 70, 50, "62.64"
60, 70, 50, "61.81"
70, 70, 50, "60.92"
80, 70, 50, "59.30"
90, 70, 50, "85.57"
100, 70, 50, "73.02"
0, 80, 50, "58.72"
10, 80, 50, "60.29"
20, 80, 50, "59.98"
30, 80, 50, "59.83"
40, 80, 50, "101.94"
50, 80, 50, "58.60"
60, 80, 50, "54.70"
70, 80, 50, "54.14"
80, 80, 50, "53.72"
90, 80, 50, "60.04"
100, 80, 50, "78.88"
0, 90, 50, "52.42"
10, 90, 50, "53.61"
20, 90, 50, "53.50"
30, 90, 50, "53.35"
40, 90, 50, "91.72"
50, 90, 50, "49.26"
60, 90, 50, "48.95"
70, 90, 50, "48.66"
80, 90, 50, "50.56"
90, 90, 50, "79.35"
100, 90, 50, "46.56"
0, 100, 50, "47.62"
10, 100, 50, "48.32"
20, 100, 50, "67.53"
30, 100, 50, "57.61"
40, 100, 50, "44.66"
50, 100, 50, "44.54"
60, 100, 50, "44.42"
70, 100, 50, "75.46"
80, 100, 50, "43.80"
90, 100, 50, "43.45"
100, 100, 50, "43.04"
0, 0, 60, "1729.21"
10, 0, 60, "645.20"
20, 0, 60, "239.91"
30, 0, 60, "163.53"
40, 0, 60, "170.77"
50, 0, 60, "49.75"
60, 0, 60, "35.34"
70, 0, 60, "27.94"
80, 0, 60, "23.41"
90, 0, 60, "18.86"
100, 0, 60, "12.96"
0, 10, 60, "349.97"
10, 10, 60, "322.41"
20, 10, 60, "902.28"
30, 10, 60, "1878.29"
40, 10, 60, "353.81"
50, 10, 60, "146.30"
60, 10, 60, "124.88"
70, 10, 60, "105.74"
80, 10, 60, "91.75"
90, 10, 60, "79.93"
100, 10, 60, "69.74"
0, 20, 60, "184.93"
10, 20, 60, "176.21"
20, 20, 60, "170.98"
30, 20, 60, "157.83"
40, 20, 60, "617.17"
50, 20, 60, "260.17"
60, 20, 60, "112.81"
70, 20, 60, "98.53"
80, 20, 60, "89.70"
90, 20, 60, "83.89"
100, 20, 60, "76.54"
0, 30, 60, "126.51"
10, 30, 60, "129.91"
20, 30, 60, "119.79"
30, 30, 60, "151.16"
40, 30, 60, "589.21"
50, 30, 60, "103.43"
60, 30, 60, "95.85"
70, 30, 60, "89.72"
80, 30, 60, "80.16"
90, 30, 60, "75.64"
100, 30, 60, "68.36"
0, 40, 60, "96.14"
10, 40, 60, "154.74"
20, 40, 60, "188.16"
30, 40, 60, "90.31"
40, 40, 60, "88.28"
50, 40, 60, "84.80"
60, 40, 60, "81.15"
70, 40, 60, "48.00"
80, 40, 60, "61.45"
90, 40, 60, "189.05"
100, 40, 60, "65.03"
0, 50, 60, "77.27"
10, 50, 60, "79.62"
20, 50, 60, "73.77"
30, 50, 60, "73.28"
40, 50, 60, "72.35"
50, 50, 60, "205.85"
60, 50, 60, "69.08"
70, 50, 60, "66.74"
80, 50, 60, "64.01"
90, 50, 60, "60.92"
100, 50, 60, "57.91"
0, 60, 60, "97.00"
10, 60, 60, "92.74"
20, 60, 60, "66.46"
30, 60, 60, "61.73"
40, 60, 60, "61.38"
50, 60, 60, "60.41"
60, 60, 60, "67.83"
70, 60, 60, "99.53"
80, 60, 60, "56.38"
90, 60, 60, "54.71"
100, 60, 60, "52.56"
0, 70, 60, "55.95"
10, 70, 60, "121.17"
20, 70, 60, "57.75"
30, 70, 60, "53.15"
40, 70, 60, "52.87"
50, 70, 60, "52.55"
60, 70, 60, "67.06"
70, 70, 60, "68.66"
80, 70, 60, "49.85"
90, 70, 60, "48.97"
100, 70, 60, "47.64"
0, 80, 60, "70.35"
10, 80, 60, "59.99"
20, 80, 60, "50.32"
30, 80, 60, "50.07"
40, 80, 60, "46.50"
50, 80, 60, "79.17"
60, 80, 60, "46.55"
70, 80, 60, "45.37"
80, 80, 60, "44.94"
90, 80, 60, "43.82"
100, 80, 60, "72.10"
0, 90, 60, "43.89"
10, 90, 60, "45.00"
20, 90, 60, "44.91"
30, 90, 60, "76.50"
40, 90, 60, "41.51"
50, 90, 60, "41.38"
60, 90, 60, "41.17"
70, 90, 60, "65.78"
80, 90, 60, "40.46"
90, 90, 60, "40.00"
100, 90, 60, "39.07"
0, 100, 60, "62.53"
10, 100, 60, "40.56"
20, 100, 60, "40.50"
30, 100, 60, "40.39"
40, 100, 60, "57.46"
50, 100, 60, "37.32"
60, 100, 60, "37.21"
70, 100, 60, "37.05"
80, 100, 60, "55.75"
90, 100, 60, "36.43"
100, 100, 60, "36.05"
0, 0, 70, "1613.94"
10, 0, 70, "571.76"
20, 0, 70, "210.47"
30, 0, 70, "107.93"
40, 0, 70, "157.99"
50, 0, 70, "43.78"
60, 0, 70, "30.55"
70, 0, 70, "28.83"
80, 0, 70, "17.32"
90, 0, 70, "15.83"
100, 0, 70, "12.42"
0, 10, 70, "304.97"
10, 10, 70, "281.83"
20, 10, 70, "233.14"
30, 10, 70, "188.26"
40, 10, 70, "154.75"
50, 10, 70, "126.58"
60, 10, 70, "107.89"
70, 10, 70, "91.00"
80, 10, 70, "79.00"
90, 10, 70, "200.01"
100, 10, 70, "60.11"
0, 20, 70, "160.82"
10, 20, 70, "152.78"
20, 20, 70, "147.79"
30, 20, 70, "136.73"
40, 20, 70, "121.84"
50, 20, 70, "110.63"
60, 20, 70, "95.89"
70, 20, 70, "84.69"
80, 20, 70, "167.27"
90, 20, 70, "88.11"
100, 20, 70, "65.67"
0, 30, 70, "108.99"
10, 30, 70, "112.03"
20, 30, 70, "103.24"
30, 30, 70, "100.38"
40, 30, 70, "95.41"
50, 30, 70, "89.13"
60, 30, 70, "242.37"
70, 30, 70, "84.93"
80, 30, 70, "69.08"
90, 30, 70, "65.25"
100, 30, 70, "58.81"
0, 40, 70, "82.68"
10, 40, 70, "85.17"
20, 40, 70, "140.22"
30, 40, 70, "109.35"
40, 40, 70, "76.02"
50, 40, 70, "73.10"
60, 40, 70, "70.00"
70, 40, 70, "65.95"
80, 40, 70, "61.76"
90, 40, 70, "113.42"
100, 40, 70, "59.99"
0, 50, 70, "66.60"
10, 50, 70, "68.53"
20, 50, 70, "63.43"
30, 50, 70, "63.09"
40, 50, 70, "87.30"
50, 50, 70, "58.71"
60, 50, 70, "30.48"
70, 50, 70, "50.67"
80, 50, 70, "54.83"
90, 50, 70, "101.12"
100, 50, 70, "49.82"
0, 60, 70, "55.75"
10, 60, 70, "54.39"
20, 60, 70, "56.25"
30, 60, 70, "104.49"
40, 60, 70, "52.66"
50, 60, 70, "52.06"
60, 60, 70, "51.19"
70, 60, 70, "49.61"
80, 60, 70, "86.85"
90, 60, 70, "47.37"
100, 60, 70, "44.84"
0, 70, 70, "47.90"
10, 70, 70, "49.36"
20, 70, 70, "90.72"
30, 70, 70, "45.64"
40, 70, 70, "45.45"
50, 70, 70, "45.15"
60, 70, 70, "57.35"
70, 70, 70, "54.34"
80, 70, 70, "42.81"
90, 70, 70, "42.06"
100, 70, 70, "41.75"
0, 80, 70, "67.19"
10, 80, 70, "43.34"
20, 80, 70, "43.25"
30, 80, 70, "43.11"
40, 80, 70, "63.49"
50, 80, 70, "39.79"
60, 80, 70, "39.41"
70, 80, 70, "39.04"
80, 80, 70, "60.16"
90, 80, 70, "37.62"
100, 80, 70, "36.88"
0, 90, 70, "42.13"
10, 90, 70, "51.27"
20, 90, 70, "38.52"
30, 90, 70, "38.42"
40, 90, 70, "51.38"
50, 90, 70, "36.36"
60, 90, 70, "35.35"
70, 90, 70, "35.04"
80, 90, 70, "51.26"
90, 90, 70, "34.37"
100, 90, 70, "33.57"
0, 100, 70, "49.68"
10, 100, 70, "34.84"
